character,copyright,trigger
hatsune_miku,vocaloid,"hatsune miku, vocaloid"
hakurei_reimu,touhou,"hakurei reimu, touhou"
kirisame_marisa,touhou,"kirisame marisa, touhou"
remilia_scarlet,touhou,"remilia scarlet, touhou"
flandre_scarlet,touhou,"flandre scarlet, touhou"
izayoi_sakuya,touhou,"izayoi sakuya, touhou"
admiral_(kancolle),kantai_collection,"admiral \(kancolle\), kantai collection"
artoria_pendragon_(fate),fate_(series),"artoria pendragon \(fate\), fate \(series\)"
kochiya_sanae,touhou,"kochiya sanae, touhou"
konpaku_youmu,touhou,"konpaku youmu, touhou"
alice_margatroid,touhou,"alice margatroid, touhou"
komeiji_koishi,touhou,"komeiji koishi, touhou"
cirno,touhou,"cirno, touhou"
patchouli_knowledge,touhou,"patchouli knowledge, touhou"
yakumo_yukari,touhou,"yakumo yukari, touhou"
shameimaru_aya,touhou,"shameimaru aya, touhou"
reisen_udongein_inaba,touhou,"reisen udongein inaba, touhou"
fujiwara_no_mokou,touhou,"fujiwara no mokou, touhou"
akemi_homura,mahou_shoujo_madoka_magica,"akemi homura, mahou shoujo madoka magica"
komeiji_satori,touhou,"komeiji satori, touhou"
kaname_madoka,mahou_shoujo_madoka_magica,"kaname madoka, mahou shoujo madoka magica"
hong_meiling,touhou,"hong meiling, touhou"
saigyouji_yuyuko,touhou,"saigyouji yuyuko, touhou"
inubashiri_momiji,touhou,"inubashiri momiji, touhou"
kaga_(kancolle),kantai_collection,"kaga \(kancolle\), kantai collection"
kagamine_rin,vocaloid,"kagamine rin, vocaloid"
yakumo_ran,touhou,"yakumo ran, touhou"
kaenbyou_rin,touhou,"kaenbyou rin, touhou"
konpaku_youmu_(ghost),touhou,"konpaku youmu \(ghost\), touhou"
rumia,touhou,"rumia, touhou"
moriya_suwako,touhou,"moriya suwako, touhou"
shimakaze_(kancolle),kantai_collection,"shimakaze \(kancolle\), kantai collection"
miki_sayaka,mahou_shoujo_madoka_magica,"miki sayaka, mahou shoujo madoka magica"
chen,touhou,"chen, touhou"
ganyu_(genshin_impact),genshin_impact,"ganyu \(genshin impact\), genshin impact"
kazami_yuuka,touhou,"kazami yuuka, touhou"
reiuji_utsuho,touhou,"reiuji utsuho, touhou"
saber_(fate),fate_(series),"saber \(fate\), fate \(series\)"
sensei_(blue_archive),blue_archive,"sensei \(blue archive\), blue archive"
mash_kyrielight,fate_(series),"mash kyrielight, fate \(series\)"
hibiki_(kancolle),kantai_collection,"hibiki \(kancolle\), kantai collection"
tatara_kogasa,touhou,"tatara kogasa, touhou"
kawashiro_nitori,touhou,"kawashiro nitori, touhou"
shigure_(kancolle),kantai_collection,"shigure \(kancolle\), kantai collection"
kamishirasawa_keine,touhou,"kamishirasawa keine, touhou"
hinanawi_tenshi,touhou,"hinanawi tenshi, touhou"
sakura_kyoko,mahou_shoujo_madoka_magica,"sakura kyoko, mahou shoujo madoka magica"
tomoe_mami,mahou_shoujo_madoka_magica,"tomoe mami, mahou shoujo madoka magica"
warrior_of_light_(ff14),final_fantasy,"warrior of light \(ff14\), final fantasy"
houraisan_kaguya,touhou,"houraisan kaguya, touhou"
mystia_lorelei,touhou,"mystia lorelei, touhou"
raiden_shogun,genshin_impact,"raiden shogun, genshin impact"
lumine_(genshin_impact),genshin_impact,"lumine \(genshin impact\), genshin impact"
koakuma,touhou,"koakuma, touhou"
link,the_legend_of_zelda,"link, the legend of zelda"
souryuu_asuka_langley,neon_genesis_evangelion,"souryuu asuka langley, neon genesis evangelion"
inaba_tewi,touhou,"inaba tewi, touhou"
ibuki_suika,touhou,"ibuki suika, touhou"
houshou_marine,hololive,"houshou marine, hololive"
dean winchester,supernatural,"red shirt , long coat , dark hair"
example character,example ,example\(example serie\) example serie
example character,example ,"example\(example serie\) , example serie"
